Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE,Duration_min,Set_Volume,DateOnly,Week,DOW
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Triceps Pushdown (Cable - Straight Bar),1,65.0,10,0.0,0,,,,148,650.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Stair Master ,1,0.0,10,0.0,0,,,,148,,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Squat (Machine),3,50.0,10,0.0,0,,,,148,500.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Squat (Machine),2,50.0,10,0.0,0,,,,148,500.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Squat (Machine),1,50.0,10,0.0,0,,,,148,500.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Hip Thrust (Barbell),3,136.0,10,0.0,0,,,,148,1360.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Hip Thrust (Barbell),2,136.0,10,0.0,0,,,,148,1360.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Hip Thrust (Barbell),1,136.0,10,0.0,0,,,,148,1360.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Pec Deck (Machine),2,20.0,10,0.0,0,,,,148,200.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Pec Deck (Machine),1,20.0,10,0.0,0,,,,148,200.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Face Pull (Cable),4,30.0,10,0.0,0,,,,148,300.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Face Pull (Cable),3,25.0,10,0.0,0,,,,148,250.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Face Pull (Cable),2,25.0,10,0.0,0,,,,148,250.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Face Pull (Cable),1,20.0,10,0.0,0,,,,148,200.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Pec Deck (Machine),3,20.0,10,0.0,0,,,,148,200.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Oblique Scrunches,2,0.0,10,0.0,0,,,,148,,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Oblique Scrunches,3,0.0,10,0.0,0,,,,148,,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Triceps Pushdown (Cable - Straight Bar),2,65.0,10,0.0,0,,,,148,650.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Triceps Pushdown (Cable - Straight Bar),3,65.0,10,0.0,0,,,,148,650.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Cable Curl,1,55.0,10,0.0,0,,,,148,550.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Cable Curl,2,55.0,10,0.0,0,,,,148,550.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Lat Pulldown (Cable),1,60.0,10,0.0,0,,,,148,600.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Cable Curl,3,55.0,10,0.0,0,,,,148,550.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Lat Pulldown (Cable),3,60.0,10,0.0,0,,,,148,600.0,2025-02-10,2025-02-10,Monday
2025-02-10 10:48:09,Usual Workout (Full Body Monday),2h 28min,Basic Scrunches,1,0.0,12,0.0,0,,,,148,,2025-02-10,2025-02-10,Monday
