workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit,start_utc,end_utc,sourceName,sourceVersion,device
HKWorkoutActivityTypeTraditionalStrengthTraining,148.4770833333333,min,,,,,2025-02-10T15:48:09+00:00,2025-02-10T18:16:38+00:00,Strong,7825,"<<HKDevice: 0xc66900b40>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.3, creation date:2025-02-09 13:23:13 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,148.4770833333333,min,,,,,2025-02-10T15:48:09+00:00,2025-02-10T18:16:38+00:00,Strong,7825,"<<HKDevice: 0xc66901770>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.3.1, creation date:2025-02-22 17:00:16 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,128.9326666673024,min,,,,,2025-02-13T15:37:37+00:00,2025-02-13T17:46:33+00:00,Strong,7825,"<<HKDevice: 0xc66900b40>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.3, creation date:2025-02-09 13:23:13 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,128.9326666673024,min,,,,,2025-02-13T15:37:37+00:00,2025-02-13T17:46:33+00:00,Strong,7825,"<<HKDevice: 0xc66901770>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.3.1, creation date:2025-02-22 17:00:16 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,114.7182632684708,min,,,,,2025-02-24T15:50:05+00:00,2025-02-24T17:44:48+00:00,Strong,7825,"<<HKDevice: 0xc66901450>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.3.1, creation date:2025-02-11 06:04:40 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,96.65427943269411,min,,,,,2025-03-03T16:03:36+00:00,2025-03-03T17:40:15+00:00,Strong,7825,"<<HKDevice: 0xc66901450>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.3.1, creation date:2025-02-11 06:04:40 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,101.1904173990091,min,,,,,2025-03-06T15:40:49+00:00,2025-03-06T17:22:01+00:00,Strong,7825,"<<HKDevice: 0xc66901450>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.3.1, creation date:2025-02-11 06:04:40 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,96.31525044838587,min,,,,,2025-03-17T14:36:00+00:00,2025-03-17T16:12:19+00:00,Strong,7825,"<<HKDevice: 0xc66901450>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.3.1, creation date:2025-02-11 06:04:40 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,95.80113333463669,min,,,,,2025-03-24T15:19:31+00:00,2025-03-24T16:55:19+00:00,Strong,7825,"<<HKDevice: 0xc66901130>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.3.2, creation date:2025-03-16 05:14:08 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,100.2340449670951,min,,,,,2025-04-29T18:10:34+00:00,2025-04-29T19:50:48+00:00,Strong,7825,"<<HKDevice: 0xc66901450>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.3.1, creation date:2025-02-11 06:04:40 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,6.838008817036947,min,,,,,2025-05-06T18:29:23+00:00,2025-05-06T18:36:13+00:00,Strong,7825,"<<HKDevice: 0xc66901450>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.3.1, creation date:2025-02-11 06:04:40 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,51.06149144967397,min,,,,,2025-05-06T18:29:23+00:00,2025-05-06T19:20:27+00:00,Strong,7825,"<<HKDevice: 0xc66901450>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.3.1, creation date:2025-02-11 06:04:40 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,73.57119583288828,min,,,,,2025-05-06T18:29:23+00:00,2025-05-06T19:42:57+00:00,Strong,7825,"<<HKDevice: 0xc66902760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.4.1, creation date:2025-04-30 12:36:48 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,73.57743333578109,min,,,,,2025-05-06T18:29:23+00:00,2025-05-06T19:42:58+00:00,Strong,7825,"<<HKDevice: 0xc66903390>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.5, creation date:2025-05-27 15:30:28 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,73.57743333578109,min,,,,,2025-05-06T18:29:23+00:00,2025-05-06T19:42:58+00:00,Strong,7825,"<<HKDevice: 0xc66903390>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.5, creation date:2025-05-27 15:30:28 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,73.59269058307012,min,,,,,2025-05-06T18:29:23+00:00,2025-05-06T19:42:58+00:00,Strong,7825,"<<HKDevice: 0xc66902760>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.4.1, creation date:2025-04-30 12:36:48 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,300,min,,,,,2025-05-06T18:29:23+00:00,2025-05-10T18:29:23+00:00,Strong,7825,"<<HKDevice: 0xc66903390>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.5, creation date:2025-05-27 15:30:28 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,300,min,,,,,2025-05-06T18:29:23+00:00,2025-05-10T18:29:23+00:00,Strong,7825,"<<HKDevice: 0xc66903390>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.5, creation date:2025-05-27 15:30:28 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,69.56699411670367,min,,,,,2025-07-08T16:14:16+00:00,2025-07-08T17:23:50+00:00,Strong,7825,"<<HKDevice: 0xc66903390>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.5, creation date:2025-05-27 15:30:28 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,71.66718104879061,min,,,,,2025-07-11T15:27:08+00:00,2025-07-11T16:38:48+00:00,Strong,7825,"<<HKDevice: 0xc669005a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.5, creation date:2025-05-21 22:48:52 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,93.84553796648979,min,,,,,2025-07-11T15:27:08+00:00,2025-07-11T17:00:58+00:00,Strong,7825,"<<HKDevice: 0xc66903390>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.5, creation date:2025-05-27 15:30:28 +0000>"
HKWorkoutActivityTypeWalking,33.19117935101191,min,,,,,2025-07-26T16:12:48+00:00,2025-07-26T16:45:59+00:00,Beatriz’s Apple Watch,11.5,"<<HKDevice: 0xc669005a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.5, creation date:2025-05-21 22:48:52 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,26.02832676768303,min,,,,,2025-08-20T16:17:56+00:00,2025-08-20T16:43:58+00:00,Strong,7825,"<<HKDevice: 0xc669005a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.5, creation date:2025-05-21 22:48:52 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,80.8274743159612,min,,,,,2025-08-20T16:17:56+00:00,2025-08-20T17:38:46+00:00,Strong,7825,"<<HKDevice: 0xc669005a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.5, creation date:2025-05-21 22:48:52 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,26.22744009892146,min,,,,,2025-08-31T14:17:05+00:00,2025-08-31T14:43:19+00:00,Strong,7825,"<<HKDevice: 0xc669009b0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.6.1, creation date:2025-08-31 06:21:11 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,76.66442131598791,min,,,,,2025-08-31T14:17:05+00:00,2025-08-31T15:33:45+00:00,Strong,7825,"<<HKDevice: 0xc66901950>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.6.2, creation date:2025-08-29 07:29:46 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,300,min,,,,,2025-08-31T14:17:05+00:00,2025-09-03T13:51:40+00:00,Strong,7825,"<<HKDevice: 0xc66901950>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.6.2, creation date:2025-08-29 07:29:46 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,61.90160516500473,min,,,,,2025-09-03T13:52:17+00:00,2025-09-03T14:54:12+00:00,Strong,7825,"<<HKDevice: 0xc669009b0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.6.1, creation date:2025-08-31 06:21:11 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,85.52742575009664,min,,,,,2025-09-03T13:52:17+00:00,2025-09-03T15:17:49+00:00,Strong,7825,"<<HKDevice: 0xc669009b0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.6.1, creation date:2025-08-31 06:21:11 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,85.53749961654346,min,,,,,2025-09-03T13:52:17+00:00,2025-09-03T15:17:50+00:00,Strong,7825,"<<HKDevice: 0xc66901950>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.6.2, creation date:2025-08-29 07:29:46 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,85.80090234875679,min,,,,,2025-09-07T14:30:03+00:00,2025-09-07T15:55:51+00:00,Strong,7825,"<<HKDevice: 0xc66901950>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone17,2, software:18.6.2, creation date:2025-08-29 07:29:46 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,85.80685090025266,min,,,,,2025-09-07T14:30:03+00:00,2025-09-07T15:55:51+00:00,Strong,7825,"<<HKDevice: 0xc669009b0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.6.1, creation date:2025-08-31 06:21:11 +0000>"
HKWorkoutActivityTypeTraditionalStrengthTraining,62.48477385044098,min,,,,,2025-09-10T14:59:07+00:00,2025-09-10T16:01:36+00:00,Strong,7825,"<<HKDevice: 0xc669009b0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch7,9, software:11.6.1, creation date:2025-08-31 06:21:11 +0000>"
