date,weight_lb,volume_kg,volume_lb,sets,reps,exercises,duration_min
2025-01-04,114.64023999999999,,,,,,
2025-02-10,,12580.0,27734.119599999998,29.0,296.0,10.0,0.0
2025-02-13,,13150.0,28990.752999999997,31.0,304.0,11.0,0.0
2025-02-24,,14420.0,31790.620399999996,26.0,268.0,9.0,0.0
2025-03-03,,13380.0,29497.815599999998,26.0,262.0,9.0,0.0
2025-03-06,,12475.0,27502.634499999996,29.0,283.0,9.0,0.0
2025-03-17,,10790.0,23787.849799999996,20.0,215.0,7.0,0.0
2025-03-24,,8960.0,19753.3952,22.0,221.0,8.0,0.0
2025-04-29,,18000.0,39683.159999999996,38.0,360.0,7.0,0.0
2025-05-06,,45000.0,99207.9,68.0,668.0,6.0,0.0
2025-07-08,,2750.0,6062.704999999999,12.0,110.0,5.0,0.0
2025-07-11,,6455.0,14230.8221,18.0,153.0,7.0,0.0
2025-08-20,,14900.0,32848.837999999996,26.0,232.0,6.0,0.0
2025-08-31,,8500.0,18739.269999999997,28.0,249.0,6.0,0.0
2025-09-03,,8040.0,17725.1448,19.0,186.0,7.0,0.0
2025-09-08,96.19984298466666,,,,,,
2025-09-10,174.09972324799998,,,,,,
